Congestion charges,Employment growth,Fuel costs,Population,Road capacity,Telework,Transit service,VMT tax,Dvmt,CO2e,VehicleTrips,WalkTrips,BikeTrips,TransitTrips
0.452071883,1.311455122,4.976953259,9290216.647,1.2379488,0.103041623,1.288121286,0.933498569,60163649.83,14079038.14,7031718.87,3801852.486,277511.7748,2168762.215
0.589169643,1.42939367,7.423328985,9180600.821,1.216431042,0.218855649,1.17525318,1.212601343,47436835.74,11134368.25,5548979.831,3935139.974,294000.5521,2467818.54
0.628902446,1.33699851,4.397899472,11722860.55,1.255127694,0.274323526,1.127447747,1.051030965,67673216.95,15851508.7,8160502.025,4902809.169,373668.7801,2875681.644
0.501626557,1.20238769,5.041872636,10755507.84,1.240139635,0.234846528,1.403289955,1.311963191,53069580.96,12452496.69,6339036.164,4660750.107,348243.4145,2996134.893
0.596278043,1.45156364,4.898754659,12021901.79,1.333307548,0.111361729,1.062247664,1.141574761,65474839.76,15342531.86,7907914.704,5085268.858,391752.7209,3049316.776
0.831448343,1.206753107,5.863173346,11464204.18,1.269668349,0.41449741,1.141451808,1.103042648,62595704.5,14679771.38,7526790.584,4851838.661,370120.8359,2925478.946
0.689723926,1.282886574,4.620048632,10505083.85,1.230261225,0.277101909,1.249958864,1.320729588,51436460.06,12084658.04,6127860.618,4553010.68,343836.4476,2912054.02
0.653026424,1.16076009,3.769275799,10955687.38,1.16686352,0.21013734,1.258460614,0.902921735,70675712.62,16546685.15,8462499.338,4482096.878,333896.746,2526213.875
0.226168101,1.275220915,5.265101315,10490807.29,1.130588244,0.251815637,1.162412048,0.67821651,83883967.48,19507920.18,9980465.591,4102112.936,302787.2128,2077970.615
0.701965998,1.344468189,6.609042127,10455213.17,1.242291871,0.205653003,1.213657503,0.97139151,62983286.85,14746862.52,7481848.852,4338036.729,324295.1297,2525815.311
0.401881294,1.17680573,7.648961114,10342830.42,1.205572711,0.3872369,1.262726583,1.253159495,51852807.55,12147302.81,6167018.282,4462113.307,335562.2692,2832110.831
0.799030902,1.454108444,6.017159145,10277744.97,1.417559479,0.448476584,1.197016684,1.294342609,50775577.66,11946267.47,5997810.599,4444695.44,336289.6051,2827473.84
0.499887985,1.233293034,5.399299985,11958709.42,1.259410599,0.173742253,1.386052803,1.08876033,67094072.46,15699690.31,8110828.036,5043424.061,378219.224,3039675.784
0.243698541,1.351900501,6.133534494,9446410.831,1.20952804,0.215959403,1.087603427,1.061505518,55434428.66,12963723.58,6506106.275,3936731.376,295020.0135,2308639.54
0.43455325,1.392248051,4.94330113,8626895.519,1.212188007,0.370376158,1.13030818,1.168624614,47315633.93,11107535.71,5487019.697,3650789.311,270986.8755,2228760.848
0.481263005,1.395417059,6.081485583,10405009.81,1.247609743,0.285931551,1.115352805,1.513779703,45566090.42,10710600.02,5423976.443,4610652.326,354304.114,3069868.47
0.741243607,1.198246509,5.241236045,11017726.05,1.326310093,0.202847039,1.13710022,0.97406424,67109092.6,15722151.14,8008362.502,4556913.79,344245.6682,2616919.786
0.474831225,1.12454466,6.207643122,9722428.625,1.194186759,0.323794328,1.266125146,0.774831197,69601799.34,16247682.89,8189407.446,3895459.098,284808.0902,2111579.067
0.391092155,1.240549792,7.044470467,9683792.036,1.158942907,0.368938825,1.315150853,1.527722875,41882018.66,9840323.033,4951636.028,4314246.18,323759.2169,2943018.137
0.466480066,1.19171022,5.754427897,10532377.83,1.369741101,0.170202048,1.371244235,0.874558605,70385630.18,16451250.98,8331523.468,4282943.035,314395.3988,2401113.699
0.621103999,1.276755948,5.761333331,11364471.61,1.151880839,0.424835024,1.234692417,0.861618546,73422815.71,17166493.78,8834763.301,4648641.748,348041.793,2611598.714
0.165629528,1.280613415,5.575150695,11061162.08,1.220559982,0.144014558,1.33023929,1.392663425,52669408.58,12329380.05,6318362.863,4825548.949,364510.4599,3130334.274
0.864974582,1.267685261,4.261193099,8926972.102,1.115700798,0.348639546,1.149280251,0.764840964,64641277.78,15142438.7,7540775.44,3565344.261,260919.4382,1916027.374
0.443950339,1.465101071,5.024805269,11195154.92,1.426939642,0.094998398,1.204904153,0.922855478,72582352.02,16971717.61,8652145.014,4572203.449,342838.2214,2560199.87
0.682751879,1.329545951,6.253324184,10145357.16,1.199428052,0.329519702,1.200859249,1.34539797,48316328.22,11350334.89,5736169.891,4422340.146,334717.6716,2862246.257
0.555304113,1.293265032,4.112569083,11492938.85,1.314259153,0.425191308,1.319434571,1.159371075,62464592.35,14643225.32,7506200.912,4875017.149,367033.3894,2976311.884
0.613933426,1.109926933,4.851479782,10665185.26,1.404462502,0.404707592,1.338182541,1.195865533,56740854.36,13323970.89,6734714.811,4546188.242,339663.6187,2817108.292
